month/year,Running Total,Monthly Net Flow
11/2011,0.01000000,0.01000000
12/2011,9.90500000,9.89500000
2/2012,8.89500000,-1.01000000
3/2012,7.88500000,-1.01000000
4/2012,8.81500000,0.93000000
5/2012,61.41177148,52.59677148
6/2012,61.31127148,-0.10050000
8/2012,153.15377150,91.84250002
9/2012,1019.95538834,866.80161684
10/2012,784.78224937,-235.17313897
11/2012,1391.55757515,606.77532578
12/2012,2026.79790365,635.24032850
1/2013,2545.42273145,518.62482780
2/2013,4251.41086067,1705.98812922
3/2013,4544.87970689,293.46884622
4/2013,4506.84450689,-38.03520000
5/2013,4531.85344489,25.00893800
6/2013,4596.93794498,65.08450009
7/2013,4606.03125528,9.09331030
8/2013,2332.26349559,-2273.76775969
9/2013,2293.45899559,-38.80450000
10/2013(incomplete),2289.86899559,-3.59000000
